Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J10-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
New Hampshire,2019,21,5/25/2019,224,207,,53,,,,,,,,54,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2019,22,6/1/2019,220,204,,49,,,,15,,,0,55,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
New Hampshire,2019,23,6/8/2019,193,178,,32,10,,0,17,,,,49,,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2019,24,6/15/2019,180,161,0,41,,,,,,,0,36,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
New Hampshire,2019,25,6/22/2019,253,218,,53,,11,,11,,,0,52,12,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Hampshire,2019,26,6/29/2019,222,197,0,45,,10,,11,,,,54,,0,0,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2019,27,7/6/2019,206,183,,46,,,,,,,,47,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2019,28,7/13/2019,219,192,,53,,,,,,,,48,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2019,29,7/20/2019,225,208,,46,,,,16,,,,44,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2019,30,7/27/2019,227,204,,64,,,,16,,,0,48,16,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Hampshire,2019,31,8/3/2019,204,177,,46,,,,,,,,45,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2019,32,8/10/2019,261,232,,54,,,,20,,,,52,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2019,33,8/17/2019,219,194,,52,,,,15,,,,40,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2019,34,8/24/2019,208,194,,42,,,,12,,,,48,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2019,35,8/31/2019,253,233,0,54,,,,15,,,,59,11,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2019,36,9/7/2019,219,195,,59,,13,,,,,,49,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2019,37,9/14/2019,244,211,,59,,15,0,13,,,,49,12,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2019,38,9/21/2019,222,202,,53,,10,,10,,,,51,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2019,39,9/28/2019,235,216,,58,,14,,12,,,,44,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2019,40,10/5/2019,235,212,,57,,11,,14,,,,43,15,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2019,41,10/12/2019,227,202,,56,,,,11,0,,,42,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2019,42,10/19/2019,251,219,,51,,,,15,,,,59,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2019,43,10/26/2019,224,207,,53,,,,17,,,,51,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2019,44,11/2/2019,252,223,,70,,,,19,,,,43,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2019,45,11/9/2019,237,210,,46,,,,16,,,,63,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2019,46,11/16/2019,238,221,,61,,,,10,,0,,58,12,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Hampshire,2019,47,11/23/2019,268,250,,52,,16,,16,,,,58,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2019,48,11/30/2019,237,220,,54,13,14,,18,,,0,43,15,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Hampshire,2019,49,12/7/2019,242,215,,37,,19,,18,,,,55,13,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2019,50,12/14/2019,259,238,,66,,18,,16,,,,54,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2019,51,12/21/2019,281,245,,60,10,17,,11,,,,53,10,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2019,52,12/28/2019,247,222,,47,13,13,,20,,,,44,12,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,1,1/4/2020,261,241,,52,,12,,16,,,,58,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,2,1/11/2020,263,238,,47,,13,,14,,,,71,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,3,1/18/2020,245,230,,65,,10,,15,,,,59,12,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,4,1/25/2020,241,229,,54,,14,,16,,,,55,12,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,5,2/1/2020,240,227,,51,,,,15,,,,54,17,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,6,2/8/2020,257,231,,57,10,,,22,,,,53,,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2020,7,2/15/2020,236,217,,52,,,,20,,,,53,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2020,8,2/22/2020,277,256,,50,,,,20,,11,,62,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Hampshire,2020,9,2/29/2020,227,214,,51,,10,,19,,0,,46,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2020,10,3/7/2020,267,234,,45,,12,,18,,,,55,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2020,11,3/14/2020,239,218,,54,,,11,,,,,56,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2020,12,3/21/2020,252,238,,47,,,11,16,,,11,62,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Hampshire,2020,13,3/28/2020,258,244,,52,,16,,20,,,,48,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
New Hampshire,2020,14,4/4/2020,246,227,,42,,,,12,,,,54,10,10,10,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,15,4/11/2020,270,243,,58,11,12,,12,,,,36,,17,16,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2020,16,4/18/2020,242,224,,39,10,17,,,,,12,40,11,16,15,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Hampshire,2020,17,4/25/2020,270,252,,54,,10,,18,,,10,43,11,18,14,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Hampshire,2020,18,5/2/2020,260,245,,44,11,11,,11,,,,62,10,32,30,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,19,5/9/2020,289,271,,44,,,,19,,,,40,13,40,38,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,20,5/16/2020,285,273,,62,,,,11,,,16,38,,39,34,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
New Hampshire,2020,21,5/23/2020,268,257,,52,,12,,12,,,13,54,,34,34,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
New Hampshire,2020,22,5/30/2020,250,237,,35,11,,,11,,,11,51,13,39,30,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Hampshire,2020,23,6/6/2020,255,244,,63,14,,,,,,,46,12,33,28,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,24,6/13/2020,299,283,,68,,15,,11,,,16,59,13,31,26,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Hampshire,2020,25,6/20/2020,175,170,,45,,,,,,,,31,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
New Jersey,2019,1,1/5/2019,"1,527","1,426",38,323,33,53,34,93,29,35,23,378,59,0,0,,,,,,,,,,,,,,,
New Jersey,2019,2,1/12/2019,"1,491","1,383",44,294,31,60,31,75,45,32,21,372,75,0,0,,,,,,,,,,,,,,,
New Jersey,2019,3,1/19/2019,"1,509","1,424",43,322,30,47,36,74,33,31,23,389,86,0,0,,,,,,,,,,,,,,,
New Jersey,2019,4,1/26/2019,"1,545","1,447",43,312,56,48,31,72,27,35,23,407,71,0,0,,,,,,,,,,,,,,,
New Jersey,2019,5,2/2/2019,"1,573","1,467",32,321,48,65,39,70,38,38,28,391,67,0,0,,,,,,,,,,,,,,,
New Jersey,2019,6,2/9/2019,"1,635","1,512",50,312,51,64,34,71,48,35,18,445,71,0,0,,,,,,,,,,,,,,,
New Jersey,2019,7,2/16/2019,"1,552","1,436",41,317,39,62,36,68,42,35,28,382,73,0,0,,,,,,,,,,,,,,,
New Jersey,2019,8,2/23/2019,"1,508","1,392",48,305,30,64,25,79,38,35,17,369,77,0,0,,,,,,,,,,,,,,,
New Jersey,2019,9,3/2/2019,"1,567","1,445",37,313,37,51,31,54,44,35,33,411,75,0,0,,,,,,,,,,,,,,,
New Jersey,2019,10,3/9/2019,"1,527","1,421",45,326,49,49,39,65,39,38,23,375,80,0,0,,,,,,,,,,,,,,,
New Jersey,2019,11,3/16/2019,"1,457","1,367",44,292,38,58,26,55,45,36,19,354,81,0,0,,,,,,,,,,,,,,,
New Jersey,2019,12,3/23/2019,"1,512","1,428",41,305,43,54,29,62,41,29,27,379,78,0,0,,,,,,,,,,,,,,,
New Jersey,2019,13,3/30/2019,"1,443","1,359",41,292,32,67,28,66,32,34,28,375,54,0,0,,,,,,,,,,,,,,,
New Jersey,2019,14,4/6/2019,"1,422","1,324",40,296,47,61,28,70,38,28,17,353,71,0,0,,,,,,,,,,,,,,,
New Jersey,2019,15,4/13/2019,"1,403","1,310",47,291,35,52,21,62,37,36,27,349,59,0,0,,,,,,,,,,,,,,,
New Jersey,2019,16,4/20/2019,"1,392","1,309",38,289,31,44,22,64,31,24,29,364,56,0,0,,,,,,,,,,,,,,,
New Jersey,2019,17,4/27/2019,"1,313","1,209",35,268,46,47,24,58,43,34,17,340,68,0,0,,,,,,,,,,,,,,,
New Jersey,2019,18,5/4/2019,"1,383","1,298",40,299,45,40,27,60,29,19,25,339,67,0,0,,,,,,,,,,,,,,,
New Jersey,2019,19,5/11/2019,"1,343","1,240",35,292,31,40,22,54,30,36,30,336,58,0,0,,,,,,,,,,,,,,,
New Jersey,2019,20,5/18/2019,"1,358","1,248",35,292,29,41,23,58,43,28,28,322,62,0,0,,,,,,,,,,,,,,,
New Jersey,2019,21,5/25/2019,"1,387","1,266",31,280,37,43,29,50,40,21,20,342,68,0,0,,,,,,,,,,,,,,,
New Jersey,2019,22,6/1/2019,"1,411","1,291",36,296,38,39,21,53,32,28,16,371,58,0,0,,,,,,,,,,,,,,,
New Jersey,2019,23,6/8/2019,"1,408","1,304",40,303,37,61,24,58,29,22,26,356,78,0,0,,,,,,,,,,,,,,,
New Jersey,2019,24,6/15/2019,"1,338","1,235",30,288,29,40,18,59,27,33,24,334,69,0,0,,,,,,,,,,,,,,,
New Jersey,2019,25,6/22/2019,"1,294","1,179",35,283,37,44,18,49,26,22,18,327,53,0,0,,,,,,,,,,,,,,,
New Jersey,2019,26,6/29/2019,"1,350","1,248",44,280,37,29,15,55,28,41,21,367,60,0,0,,,,,,,,,,,,,,,
New Jersey,2019,27,7/6/2019,"1,394","1,262",47,278,45,51,19,62,30,28,27,342,56,0,0,,,,,,,,,,,,,,,
New Jersey,2019,28,7/13/2019,"1,395","1,278",49,308,35,51,21,56,28,30,19,359,72,0,0,,,,,,,,,,,,,,,
New Jersey,2019,29,7/20/2019,"1,338","1,220",29,298,32,34,20,57,29,35,29,321,67,0,0,,,,,,,,,,,,,,,
New Jersey,2019,30,7/27/2019,"1,358","1,239",27,321,36,48,20,51,34,27,16,343,64,0,0,,,,,,,,,,,,,,,
New Jersey,2019,31,8/3/2019,"1,293","1,194",37,273,34,48,21,56,36,26,17,342,56,0,0,,,,,,,,,,,,,,,
New Jersey,2019,32,8/10/2019,"1,334","1,183",34,284,41,51,23,41,25,31,20,303,48,0,0,,,,,,,,,,,,,,,
New Jersey,2019,33,8/17/2019,"1,311","1,205",34,285,33,47,17,48,23,22,24,362,57,0,0,,,,,,,,,,,,,,,
New Jersey,2019,34,8/24/2019,"1,386","1,256",30,303,34,57,12,56,29,21,24,326,70,0,0,,,,,,,,,,,,,,,
New Jersey,2019,35,8/31/2019,"1,273","1,151",32,304,32,46,15,29,30,23,21,283,69,0,0,,,,,,,,,,,,,,,
New Jersey,2019,36,9/7/2019,"1,329","1,226",39,304,33,53,15,44,28,39,21,315,52,0,0,,,,,,,,,,,,,,,
New Jersey,2019,37,9/14/2019,"1,294","1,197",38,289,24,33,19,54,25,29,24,333,65,0,0,,,,,,,,,,,,,,,
New Jersey,2019,38,9/21/2019,"1,352","1,250",32,312,35,46,18,53,38,31,22,314,55,0,0,,,,,,,,,,,,,,,
New Jersey,2019,39,9/28/2019,"1,316","1,214",32,292,22,41,18,52,38,27,18,300,66,0,0,,,,,,,,,,,,,,,
New Jersey,2019,40,10/5/2019,"1,356","1,215",43,282,30,55,21,51,30,28,17,324,64,0,0,,,,,,,,,,,,,,,
New Jersey,2019,41,10/12/2019,"1,408","1,280",37,288,38,47,23,46,39,36,19,342,64,0,0,,,,,,,,,,,,,,,
New Jersey,2019,42,10/19/2019,"1,406","1,297",38,291,26,54,20,53,27,24,25,362,71,0,0,,,,,,,,,,,,,,,
New Jersey,2019,43,10/26/2019,"1,455","1,337",36,313,48,47,30,54,34,34,24,365,68,0,0,,,,,,,,,,,,,,,
New Jersey,2019,44,11/2/2019,"1,324","1,210",43,276,31,46,21,46,26,39,26,312,71,0,0,,,,,,,,,,,,,,,
New Jersey,2019,45,11/9/2019,"1,465","1,341",24,297,38,50,36,47,29,33,24,342,72,0,0,,,,,,,,,,,,,,,
New Jersey,2019,46,11/16/2019,"1,473","1,358",43,313,37,64,27,51,37,29,21,348,73,0,0,,,,,,,,,,,,,,,
New Jersey,2019,47,11/23/2019,"1,497","1,378",36,291,34,56,17,58,22,35,26,393,78,0,0,,,,,,,,,,,,,,,
New Jersey,2019,48,11/30/2019,"1,430","1,325",42,305,35,49,19,46,38,39,15,372,59,0,0,,,,,,,,,,,,,,,
New Jersey,2019,49,12/7/2019,"1,540","1,429",44,286,45,63,21,76,24,36,22,388,63,0,0,,,,,,,,,,,,,,,
New Jersey,2019,50,12/14/2019,"1,586","1,458",40,314,41,67,26,68,36,27,28,389,86,0,0,,,,,,,,,,,,,,,
New Jersey,2019,51,12/21/2019,"1,460","1,342",26,295,33,50,19,77,27,41,13,370,82,0,0,,,,,,,,,,,,,,,
New Jersey,2019,52,12/28/2019,"1,572","1,454",48,294,44,55,28,62,31,37,31,432,57,0,0,,,,,,,,,,,,,,,
New Jersey,2020,1,1/4/2020,"1,628","1,479",41,321,30,42,25,65,53,35,27,418,68,0,0,,,,,,,,,,,,,,,
New Jersey,2020,2,1/11/2020,"1,587","1,485",38,317,44,51,37,70,40,32,26,393,66,0,0,,,,,,,,,,,,,,,
New Jersey,2020,3,1/18/2020,"1,488","1,393",44,309,35,38,36,72,49,36,24,361,76,0,0,,,,,,,,,,,,,,,
New Jersey,2020,4,1/25/2020,"1,577","1,458",38,309,47,52,34,64,38,36,29,390,86,0,0,,,,,,,,,,,,,,,
New Jersey,2020,5,2/1/2020,"1,515","1,422",47,302,43,54,29,59,40,30,32,347,64,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
New Jersey,2020,6,2/8/2020,"1,491","1,383",30,299,36,47,26,58,44,41,30,368,80,0,0,,,,,,,,,,,,,,,
New Jersey,2020,7,2/15/2020,"1,484","1,383",50,320,39,46,28,70,38,36,27,356,73,0,0,,,,,,,,,,,,,,,
New Jersey,2020,8,2/22/2020,"1,489","1,390",45,300,33,52,32,71,59,22,32,376,64,0,0,,,,,,,,,,,,,,,
New Jersey,2020,9,2/29/2020,"1,570","1,470",47,311,43,56,36,62,48,29,39,372,84,0,0,,,,,,,,,,,,,,,
New Jersey,2020,10,3/7/2020,"1,505","1,401",43,308,41,40,38,60,43,30,34,371,72,0,0,,,,,,,,,,,,,,,
New Jersey,2020,11,3/14/2020,"1,474","1,378",38,280,40,45,34,53,39,27,54,384,76,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
New Jersey,2020,12,3/21/2020,"1,592","1,524",40,306,43,48,43,65,43,57,40,377,85,36,34,,,,,,,,,,,,,,,
New Jersey,2020,13,3/28/2020,"2,113","2,013",64,289,48,67,84,72,69,34,53,464,67,286,271,,,,,,,,,,,,,,,
New Jersey,2020,14,4/4/2020,"3,461","3,364",64,326,101,100,112,107,75,43,85,549,107,"1,220","1,160",,,,,,,,,,,,,,,
New Jersey,2020,15,4/11/2020,"4,706","4,623",66,323,94,124,126,116,92,46,100,624,102,"2,309","2,221",,,,,,,,,,,,,,,
New Jersey,2020,16,4/18/2020,"4,640","4,557",49,344,105,128,89,95,69,47,86,580,91,"2,407","2,285",,,,,,,,,,,,,,,
New Jersey,2020,17,4/25/2020,"3,784","3,706",52,268,84,102,77,99,66,42,71,518,76,"1,860","1,732",,,,,,,,,,,,,,,
New Jersey,2020,18,5/2/2020,"2,927","2,857",52,298,64,81,59,66,51,29,91,406,71,"1,307","1,190",,,,,,,,,,,,,,,
New Jersey,2020,19,5/9/2020,"2,564","2,493",38,284,58,67,41,50,46,32,112,374,52,"1,096",978,,,,,,,,,,,,,,,
New Jersey,2020,20,5/16/2020,"2,245","2,198",41,266,46,61,34,56,39,32,90,384,92,806,720,,,,,,,,,,,,,,,
New Jersey,2020,21,5/23/2020,"1,897","1,824",30,286,42,48,30,48,30,26,81,362,73,537,461,,,,,,,,,,,,,,,
New Jersey,2020,22,5/30/2020,"1,687","1,600",36,258,41,47,32,49,35,19,80,294,65,382,328,,,,,,,,,,,,,,,
New Jersey,2020,23,6/6/2020,"1,489","1,431",23,237,37,47,22,39,28,26,87,327,40,296,237,,,,,,,,,,,,,,,
New Jersey,2020,24,6/13/2020,"1,089","1,044",19,208,23,28,12,32,21,26,35,240,43,180,143,,,,,,,,,,,,,,,
New Jersey,2020,25,6/20/2020,456,442,10,95,10,14,10,11,12,14,16,104,12,49,42,,,,,,,,,,,,,,,
New Mexico,2019,1,1/5/2019,409,365,,69,17,,10,27,,,,97,15,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,2,1/12/2019,447,399,10,78,12,13,,40,,,,85,22,0,0,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,3,1/19/2019,408,364,,76,16,15,14,28,,11,,84,12,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
